timekey,Domestic office deposits,Interest-bearing deposits,Noninterest-bearing deposits,Time deposits
16,2350531.199,1860467.09,363955.726,1242574.369
17,2427917.132,1921612.686,379300.05,1306506.07
18,2455092.625,1964712.984,364125.25,1370983.133
19,2590097.831,2043037.29,421535.819,1407294.882
20,2584481.41,2086013.731,371462.367,1413727.021
21,2655257.126,2124431.654,400008.579,1427993.578
22,2724094.696,2162306.672,424540.927,1443517.782
23,2818983.385,2216165.276,460092.446,1470307.738
24,2830176.26,2394639.992,430844.896,1495135.55
25,2890025.295,2422642.142,461750.53,1481059.592
26,2909730.988,2465240.258,438971.92,1481717.355
27,3052899.643,2523785.722,525641.745,1468072.86
28,2998773.367,2541469.258,453219.192,1464597.778
29,3026425.041,2557978.107,463571.035,1488839.046
30,3034070.427,2587454.417,441952.277,1532545.964
31,3131665.396,2658460.308,469867.863,1601818.678
32,3157202.221,2722063.399,431125.387,1652077.898
33,3211319.442,2750867.319,455635.839,1675666.162
34,3242073.485,2793229.16,444025.328,1732982.56
35,3311424.87,2834169.801,473861.64,1767537.006
36,3222731.787,2785391.96,433267.376,1765947.486
37,3237773.606,2772948.26,464825.338,1805635.262
38,3247230.923,2795330.089,452120.815,1816157.066
39,3319140.535,2826879.984,492519.643,1810783.992
40,3245186.694,2798154.243,445738.16,1772567.43
41,3270220.824,2809290.489,460890.21,1786709.481
42,3281913.435,2829654.958,452017.972,1803288.046
43,3343946.489,2846325.55,497620.532,1798307.067
44,3263710.889,2835553.149,427683.879,1763863.699
45,3259601.917,2804986.431,454615.45,1706710.057
46,3281148.057,2805946.252,475201.761,1679959.999
47,3289760.964,2797917.724,491843.215,1613051.671
48,3265530.179,2781541.119,483989.015,1534806.93
49,3230395.562,2733475.975,496919.561,1467776.199
50,3193074.05,2691942.305,501131.721,1404153.533
51,3240289.799,2685639.964,554649.798,1337713.371
52,3152054.511,2653745.138,498309.375,1287128.03
53,3156225.384,2619993.679,536231.711,1260218.077
54,3154415.39,2608516.045,545899.346,1236836.773
55,3198518.175,2615341.391,583176.78,1219262.971
56,3167436.318,2608672.14,558764.176,1205897.684
57,3145506.127,2589504.787,556001.345,1212331.886
58,3137945.862,2587632.29,550313.577,1238598.388
59,3179704.569,2597589.036,582115.534,1276142.19
60,3164822.267,2626515.717,538306.552,1354267.491
61,3212368.521,2640190.201,572178.321,1389343.179
62,3224221.374,2657026.761,567194.617,1404186.91
63,3315388.493,2693159.323,622229.175,1410382.617
64,3306089.155,2722533.612,583555.542,1434888.346
65,3327065.368,2712988.112,614077.26,1442498.159
66,3375155.519,2733662.09,641493.427,1467951.086
67,3451481.205,2777871.519,673609.684,1481856.269
68,3444639.187,2800877.421,643761.77,1494336.475
69,3494289.801,2816628.821,677660.982,1516403.231
